pair_ids,id1,id2,label,ast_n1,ast_n2,pss_ast,hk_ast,js_ast,ws_ast,cfg_n1,cfg_n2,pss_cfg,hk_cfg,js_cfg,ws_cfg,ddg_n1,ddg_n2,pss_ddg,hk_ddg,js_ddg,ws_ddg,pdg_n1,pdg_n2,pss_pdg,hk_pdg,js_pdg,ws_pdg,cpg_n1,cpg_n2,pss_cpg,hk_cpg,js_cpg,ws_cpg
13421722_17724879,13421722,17724879,0,65,106,0.5998612997131695,0.9968760839717736,0.6756942956245976,0.9627206109746267,28,47,0.5797936474140712,0.9951449802726892,0.4636815523040484,0.971258636862919,23,47,0.6099949198036844,0.9883601287280603,0.5361100342057262,0.9655111446208166,27,53,0.6566552014929661,0.9816510858106998,0.5381866114767294,0.9323003110419351,65,106,0.6718443300207796,0.9893584377822209,0.7044084807666775,0.9647710715520387
1798720_9805906,1798720,9805906,1,215,65,0.3681508892952039,0.9979514552016941,0.7413526935284058,0.9785076261732862,95,24,0.33626193661815507,0.9906856692810816,0.5755959115069598,0.9575568859400176,85,30,0.5110610122100732,0.9908529977176754,0.5465241851831183,0.9603287746451172,97,30,0.5245940938066761,0.9843793712931237,0.5639857645013737,0.9258242192585856,215,65,0.4686109910224782,0.9946502177950398,0.7312339157085133,0.9804713925160069
13152325_8024375,13152325,8024375,0,181,142,0.7549897202522508,0.9972425843585911,0.7298263399872604,0.9693871818938853,69,53,0.7540676544644705,0.9966654519290388,0.6279455187406962,0.9700906244521816,69,49,0.7736076908231841,0.9972284756514256,0.7039303067050962,0.9780637181097384,75,55,0.79875631529919,0.9895175473766583,0.6006669720025086,0.9450920090456892,181,142,0.8042651541963846,0.9945401631866675,0.7905607432804914,0.9679559894925615
4982745_19147281,4982745,19147281,0,191,85,0.4972557279813242,0.9955285590365107,0.7095224770595105,0.9675801927638692,68,30,0.4387479247531231,0.9937904939046325,0.5393343575878617,0.9742532652846443,62,36,0.6724318609015696,0.9936197189287728,0.5223946857453537,0.8964980437381563,62,36,0.6846594886186892,0.9944749929390713,0.5771642287440621,0.9195462836584734,191,85,0.5639578154639602,0.9946975265914252,0.6731779208615204,0.9563193820444725
189963_15905041,189963,15905041,0,156,311,0.534393322087777,0.9947551916156891,0.6699555138163935,0.9551830763339823,68,133,0.49232784134945023,0.9984709933312058,0.8817296474265066,0.9916645160207452,58,140,0.5654767507843113,0.9940723582394045,0.7105617621092424,0.9675884749353496,58,140,0.5654767507843113,0.9940723582394045,0.7105617621092424,0.9675884749353496,156,311,0.6133840946478717,0.9948621240996544,0.815962844800282,0.9809844025687825
3024987_16232202,3024987,16232202,0,74,189,0.43664851556473,0.9852427191367837,0.6229161154843081,0.9201439289670721,27,66,0.43047147173787087,0.9817384455792796,0.5235247758167627,0.9561104783975088,29,70,0.5794921168806608,0.9862842835045373,0.6247966071490277,0.9398524240399252,29,71,0.5965104725198763,0.9819748903023765,0.5715212885442748,0.907522585652484,74,189,0.5369573317230412,0.9962298651091435,0.6795924880533002,0.9520944570180023
11546108_15500892,11546108,15500892,0,133,142,0.9208266381525807,0.9970305368261699,0.6930264379765276,0.9719471951811143,42,53,0.7808679564941389,0.9931217221007911,0.4976538852912309,0.9445139793619701,46,49,0.9325325624879279,0.9972307295205671,0.6117288089036194,0.94295417716533,47,55,0.873738347025097,0.9977199466188584,0.7195818089903692,0.9709722941197451,133,142,0.9347716854615938,0.9986666719861277,0.7738076990204119,0.9752572934296629
1180878_7351534,1180878,7351534,0,133,98,0.6972493948326393,0.9939968662310589,0.637626834209742,0.9520578912198945,48,38,0.7829470889478733,0.9918546376661829,0.6268402056679333,0.9735462722208754,47,33,0.7663441523648438,0.9929028378383509,0.5759273520403952,0.9696729559431014,52,41,0.8411485792187113,0.9954975750104011,0.6625021328760063,0.9743511115247262,133,98,0.7634979360612315,0.9961308367931451,0.740075440890368,0.9676784651373046
13666876_15202804,13666876,15202804,0,158,108,0.6630664245323296,0.9986379933968416,0.7440298130315237,0.9633892837840926,66,40,0.5837365724123119,0.9974751843371753,0.664016238790753,0.9757947072775012,67,48,0.7774279228555224,0.9961196410662935,0.624405893335297,0.9563554033231929,67,48,0.7813826834778235,0.9958263203859903,0.679952618538504,0.9637262399449961,158,108,0.7263616411792274,0.9982732677866131,0.8033246499641853,0.9772224157435708
11153282_18451704,11153282,18451704,0,43,93,0.49465080013398616,0.9962327001059701,0.5636639896269509,0.9521808378649261,19,38,0.5162860145582551,0.9774610778466919,0.4020260425465173,0.9486764513804855,18,38,0.6179502340671301,0.9802930926309932,0.4042576761624145,0.935145843921834,18,40,0.6180358836844516,0.9777268940558882,0.4282277838537991,0.9198008674208238,43,93,0.5800849731047709,0.9904554696005283,0.5953795295231057,0.9666634190968441
12039034_14877116,12039034,14877116,0,88,165,0.5548743569619358,0.9983396485431222,0.735970175405672,0.9772821742648631,32,73,0.44830850882209644,0.9915338086283584,0.4774541107745248,0.9708369741567175,35,76,0.6002632084547385,0.9928634387278258,0.7144593252254627,0.9692085049158046,35,80,0.6122493096588585,0.989586445636438,0.6685312022809773,0.9483206974218495,88,165,0.6390636860645691,0.9898523897834031,0.7617473082142583,0.9598179650194205
300397_9033639,300397,9033639,0,156,67,0.4799342820264157,0.9967194727167754,0.7860423254419567,0.9754076537709152,68,28,0.41365054015758285,0.9939960045873386,0.5988185009932617,0.9781855214926106,58,27,0.6087608799590631,0.9881041579751242,0.6044142053884796,0.9640697490647433,58,27,0.6085863463670967,0.9869452105772375,0.6388949326630251,0.9620911778046919,156,67,0.5580001776596644,0.9976530350878567,0.736908116937695,0.9735955835900649
19944975_13207437,19944975,13207437,0,48,450,0.3038872342411399,0.9911852256047164,0.6691388531573991,0.9362132278280273,12,218,0.2940656173182801,0.9949231434706004,0.3962157424983239,0.9374558778829661,14,164,0.3647470089912224,0.9497162674830628,0.34874901083764254,0.8689962729102855,14,194,0.35659700704491015,0.9533047046176311,0.4362377000579326,0.8786856113732399,48,450,0.3540999855755822,0.9846461000902992,0.6801594660737527,0.9490222823766095
13122204_344764,13122204,344764,0,112,81,0.6872481103843902,0.9960171492455839,0.6910864931570825,0.9772485980759451,42,30,0.6953108232325371,0.9981152597933766,0.46368038734064676,0.9608464210771287,46,36,0.8300787508566199,0.9961325243062098,0.6740110236806218,0.977350115924743,46,36,0.8370173629803649,0.9955769644183451,0.6441842301990597,0.9645265426944791,112,81,0.7572203715526203,0.9984726112184814,0.7455851813497352,0.9811546320983681
2834524_9347451,2834524,9347451,1,98,220,0.4866088848310898,0.9970961798101686,0.7637684746698837,0.9696416835625812,36,77,0.47631806206295907,0.994567102575004,0.5735014914460065,0.9675853465243637,36,77,0.6219174558049796,0.9907920768616951,0.6675677323584175,0.9669253645287227,37,83,0.6240862628765759,0.9904462744888413,0.621288693230186,0.9604276781638247,98,220,0.5705109677134862,0.9975089923035524,0.7467523849360633,0.9738431884522195
21979462_7846688,21979462,7846688,1,49,129,0.44520983927296714,0.9975942174940245,0.6859222371849005,0.9691855127097008,20,45,0.4564063938599068,0.9875772707560743,0.46839016034879355,0.9414796841575345,23,52,0.5911771397056989,0.9846466062765039,0.5986575885118689,0.9596528118937618,23,52,0.5961851207369244,0.9839435998453933,0.49812157968864457,0.9590963780280126,49,129,0.5274506320375524,0.9941816150608963,0.7086751549079171,0.9694617430998067
14650352_4417943,14650352,4417943,0,46,65,0.6840119584962645,0.9979498002594345,0.559415844872792,0.970561109521305,19,23,0.8188232011458187,0.992551872515393,0.3817972469351837,0.9593472669409283,22,22,0.9655841458863821,0.9976421433694602,0.46029369757570615,0.9632094710792841,22,22,0.9659895324435934,0.9986916279734476,0.4148467982283077,0.9571377061113752,46,65,0.7387323656017329,0.996534431910831,0.6993497167908342,0.9671166961264338
6966398_9796161,6966398,9796161,0,660,44,0.29868952029053314,0.9935672356034962,0.695457287668882,0.9778289640335267,265,16,0.2941701593952686,0.9901956031193662,0.45727002450755616,0.9625518399591849,222,19,0.3628520125081601,0.9726693087043954,0.5227795429351809,0.939224945472479,246,19,0.3579858285436602,0.9716682719935198,0.5297977315313909,0.9234668310723658,660,44,0.32956432473627856,0.9907035669159898,0.6917898027314376,0.9747519133728372
16079868_10715601,16079868,10715601,0,109,49,0.5011252206899529,0.9922012478319091,0.6063152640562952,0.9674244121614585,38,17,0.44994778313051453,0.9926313205074122,0.39380926666600635,0.9443623830365916,43,19,0.5904837738154356,0.9783353258563605,0.4699926907003018,0.9280101519708359,43,19,0.6051037287810905,0.9769336487324654,0.529700943515085,0.9132618709618208,109,49,0.5787117677410237,0.9880382418912963,0.6450860172165622,0.9533651060365302
