Dataset,Seed,P,R,F1,Acc,MacroF1,BalancedAccuracy,Threshold,BestEpoch,RuntimeMinutes,CompletedUTC,Reported
AtCoder,7,0.5015719489495106,0.9648608826754386,0.6600331674958542,0.5030239172149122,0.3682828238192385,0.5030239172149122,,2.0,138.16521501866666,2026-08-20T16:56:06.806183+00:00,False
AtCoder,42,0.7832448671450586,0.8620819627192983,0.820774645015537,0.811754728618421,,,,,,,True
AtCoder,123,0.5085955026869098,0.668054413377193,0.5775200687224148,0.5112904331140351,0.4989778408547666,0.5112904331140351,,3.0,137.64472549711667,2026-08-19T14:19:44.318541+00:00,False
AtCoder,231,0.7496271328003818,0.8611054002192983,0.8015085794475985,0.7867495888157895,0.7855640180128345,0.7867495888157895,,4.0,137.25455333066665,2026-08-19T16:36:59.803815+00:00,True
AtCoder,1337,0.7505166062711509,0.8587068256578947,0.8009748302037556,0.7866296600877193,0.785515387258965,0.7866296600877193,,4.0,130.74927718916666,2026-08-20T16:27:50.201694+00:00,True
AtCoder,2024,0.6881234281838989,0.8344298245614035,0.754247131153888,0.7281215734649122,0.7250138326244681,0.7281215734649122,,3.0,128.44695908566666,2026-08-20T16:27:38.879467+00:00,False
AtCoder,3407,0.6506508281252309,0.7544887609649122,0.6987330524946253,0.6746933251096491,0.6726087228382958,0.6746933251096491,,4.0,127.34456508035,2026-08-19T14:09:20.359510+00:00,False
AtCoder,5150,0.7204051160694163,0.8762164199561403,0.790708101422387,0.7680749725877193,0.7653306144118237,0.7680749725877193,,4.0,137.00437998621663,2026-08-20T16:36:36.042524+00:00,True
AtCoder,8675,0.6819887168940889,0.8408717105263158,0.7531419276627741,0.7243866502192983,0.7205954746809284,0.7243866502192983,,4.0,123.80262390758334,2026-08-20T16:27:44.988105+00:00,False
AtCoder,9991,0.7764003673094583,0.869140625,0.8201571442428947,0.8094161184210527,0.8087338689400764,0.8094161184210527,,4.0,126.96185703380002,2026-08-19T16:16:18.259855+00:00,True
BigCloneBench,42,0.7343706630528842,0.7915874692009855,0.7619063751937459,0.932330483178308,,,,,,,True
BigCloneBench,123,0.7596462449183368,0.7498064061950017,0.7546942535251188,0.9333294817724884,0.8580582844273948,0.8561076783286803,,3.0,266.4358022333166,2026-08-19T16:20:47.657599+00:00,True
BigCloneBench,231,0.7087155963302753,0.7559134107708554,0.7315540264341192,0.9241194369018044,0.8436844658949101,0.8533426550334996,,3.0,274.4773528415166,2026-08-19T20:55:16.493603+00:00,True
BigCloneBench,3407,0.731343530658191,0.7775255191833861,0.7537277783464701,0.9305033990024456,0.8566355832780888,0.8661342305506552,,3.0,236.36861352806667,2026-08-19T15:50:25.357303+00:00,True
BigCloneBench,9991,0.6866020324728419,0.8275959169306583,0.750534682542216,0.9247501299901784,0.8531135945523571,0.8838701288185957,,3.0,256.84420859496663,2026-08-19T20:07:16.195830+00:00,True
CodeNet,42,0.6333555831028893,0.8871377053559503,0.7390675420051186,0.6863925108659311,,,,,,,True
CodeNet,123,0.6255712020889677,0.8959529851743021,0.7367380560131797,0.6794383149448345,0.663497233134795,0.679162887873707,,4.0,29.021024322250003,2026-08-19T12:33:43.624703+00:00,True
CodeNet,231,0.6219081272084805,0.89328168825965,0.7332931308590537,0.6746907388833167,0.6581882570911946,0.6744126705893858,,4.0,27.453466456233333,2026-08-19T13:01:11.473587+00:00,True
CodeNet,3407,0.6201957940536621,0.9138506745024708,0.7389167881635078,0.6766967569374791,0.657229441399812,0.6763950747981021,,4.0,28.209660023166663,2026-08-19T12:33:09.904647+00:00,True
CodeNet,9991,0.620916852264291,0.8936823827968479,0.7327383233860811,0.6736208625877633,0.6568302246277018,0.6733409235891041,,4.0,26.785599535466663,2026-08-19T12:59:57.662569+00:00,True
