,Control,Declaration,Operator,Call/Access,Literal,Structure/Meta,Unknown
S1,0.05026523267824273,0.30623786013948673,0.12411449533690655,0.13809947321247612,0.09859942341868158,0.20327173953482772,0.07941177567937857
S2,0.03606928886300347,0.07717701255294711,0.22120022655039626,0.38954675992470295,0.07057352000488155,0.13860310371000104,0.06683008839406762
S3,0.05785618547272959,0.1195330954545301,0.24910970246101774,0.20896394554728026,0.100370664180817,0.17351947588471084,0.09064693099891445
S4,0.04564202378405221,0.2662466708695277,0.12613750783803626,0.12542418982044393,0.10787731551661743,0.2361095972205341,0.0925626949507884
S5,0.049100297658142424,0.29961169150936756,0.12447288477157269,0.12002226294160626,0.1123523345980564,0.20382609363677962,0.09061443488447504
S6,0.048332815071969085,0.09885652317318626,0.315525406428038,0.2526737640806426,0.06726625946263468,0.1556494540544193,0.06169577772911004
S7,0.047295184792460324,0.2910361322602035,0.12132212723045303,0.12184116511639156,0.10541072782620745,0.22373227289633366,0.0893623898779505
S8,0.07570200378850814,0.09152641847977624,0.32896208746674144,0.22191157636050782,0.07379102971091878,0.15616001820160347,0.05194686599194412
S9,0.06989536392457543,0.09822417732368058,0.2756080269154023,0.26959846275026167,0.07379702015691636,0.14792946547835217,0.06494748345081144
S10,0.042258371180202155,0.10609427268340474,0.2414417155282902,0.28794010516151436,0.08808896199769878,0.1695146464770011,0.06466192697188865
S11,0.04747560745247305,0.2917435493070143,0.11972867461868093,0.12217275572684781,0.10756883074222598,0.22145231591779233,0.08985826623496562
S12,0.04842350763670161,0.1019459719762802,0.2619321706733328,0.23469815886197493,0.1033453987983635,0.18506444330542313,0.06459034874792387
S13,0.06427701064330128,0.1568087089231266,0.1864367551515189,0.10710014189842612,0.1439326426187383,0.2785887943196942,0.06285594644519463
S14,0.06451696313123197,0.14979179231846773,0.21908151440026602,0.16550568736224405,0.11535620302772769,0.20917058027578933,0.07657725948427319
S15,0.049403982585434575,0.3025497846601411,0.12547558197418734,0.12520728762798056,0.10545561983697854,0.20495354854541822,0.08695419476985963
S16,0.04740011094106436,0.2782590208200458,0.11556478151184861,0.11875796916716073,0.10943371073184512,0.2362625737401211,0.09432183308791428
S17,0.04919688636914586,0.23762653187125926,0.13807161892153322,0.12047823574572701,0.11510462143475216,0.24605841422299593,0.09346369143458655
S18,0.06335605596054425,0.10072990374008306,0.3394702901733474,0.1952228970249674,0.07936393758510658,0.15015669816039562,0.07170021735555568
S19,0.009638729961631922,0.022956462708929044,0.035416696425567905,0.8148107356076155,0.044191034234127215,0.03337482412630913,0.03961151693581932
S20,0.05148882125154173,0.14635368979951474,0.16956247748033093,0.13429138358180914,0.15004783408799938,0.2610407439140056,0.08721504988479843
S21,0.06357699014124919,0.14498426172040485,0.1832746092983663,0.10837058377582925,0.1498185740511202,0.2766977481591401,0.07327723285389011
S22,0.0527321437418547,0.13188987380374428,0.2328983125086182,0.17439566900580603,0.12230452178387562,0.20474204893752762,0.08103743021857356
S23,0.048533649616954465,0.29086353879862903,0.11733710257513336,0.1285734304961272,0.10421016597720525,0.2238354575575593,0.08664665497839141
S24,0.047867513234140006,0.27523560783735085,0.12462125629070588,0.12794477900163104,0.1089972089818463,0.22673859371654778,0.0885950409377781
S25,0.04363113022389339,0.11279608631832988,0.19101532406963945,0.29451336796360206,0.11150357814448046,0.18010317297896633,0.06643734030108847
S26,0.06591369860621098,0.12082899011270357,0.27181728950563727,0.16139221396326822,0.11337805975103904,0.19558459999946756,0.07108514806167338
S27,0.04463876593703867,0.11684763593697822,0.214217599124557,0.22181595369757356,0.13199871571055205,0.21398929567368022,0.05649203391962026
S28,0.05492601195016474,0.20752451630153282,0.14547370816928315,0.16754843875528733,0.11726217122205745,0.2105253687839032,0.09673978481777129
S29,0.05442946098365895,0.30193114332115567,0.12909721335100302,0.12196130480263616,0.11825609911566186,0.18135440065988856,0.09297037776599579
S30,0.05928722507298853,0.15962341854881337,0.14267546517121169,0.12615858587055276,0.1565169339236246,0.2872287942623227,0.06850957715048638
S31,0.049927188032868004,0.30485203142410217,0.12545312103938577,0.11977145929795056,0.11298878139433555,0.196642896505652,0.09036452230570592
S32,0.046095440611919974,0.2983532250748331,0.1173354493693624,0.12387963642009099,0.10258332813905228,0.21896840815268584,0.09278451223205543
