scope,configuration,positive_pairs,negative_pairs,mean_positive_similarity,h_pos,h_neg,syntax_margin,hard_nonclone_pairs,hard_nonclone_h_neg,diff_problem_pairs,diff_problem_h_neg
Single-language,Java - Java,95825,193400,0.5438432497364584,0.45615675026354163,0.5380262380013896,0.005817011735068767,93400,0.6004700223640866,100000,0.4797037434066305
Single-language,Python - Python,94871,193443,0.511284481696614,0.488715518303386,0.4570397719972367,0.05424470969937728,93443,0.5400917542749133,100000,0.3794335081975075
Single-language,C++ - C++,97255,196841,0.4865089730807884,0.5134910269192117,0.4779906099357476,0.008518363145040786,96841,0.5349556723632067,100000,0.4228250738303718
Single-language,C# - C#,94515,178820,0.48630602435419235,0.5136939756458077,0.4972472096978551,-0.01094118534366273,91136,0.5496217592416442,87684,0.44281074526622827
Cross-language,Python - Java,96673,191813,0.2474960815022883,0.7525039184977117,0.23506258954729428,0.01243349195499402,91813,0.2529798379914543,100000,0.21861222623325766
Cross-language,Python - C++,96439,188790,0.24542352710411955,0.7545764728958805,0.22958874587699304,0.015834781227126504,88790,0.25033923360791344,100000,0.21116438782070887
Cross-language,Python - C#,95874,191441,0.2514980786552611,0.7485019213447389,0.23846852538863766,0.013029553266623417,91441,0.2572997236995827,100000,0.22124908934112636
Cross-language,Java - C++,96870,188841,0.36888987975268894,0.6311101202473111,0.3596136278183071,0.009276251934381863,88841,0.3892050709213644,100000,0.33332429385111995
Cross-language,Java - C#,96115,190364,0.4733205137089142,0.5266794862910857,0.46356762028362236,0.009752893425291842,90364,0.5023566508313277,100000,0.42851630071949387
Cross-language,C++ - C#,96971,186038,0.36522171397656067,0.6347782860234393,0.3667986046020127,-0.001576890625452021,86038,0.392076645754278,100000,0.34504988355542665
